Apk,Label,BC_REPLY_SG,BC_TRANSACTION,BC_REPLY,BC_ACQUIRE_RESULT,BC_FREE_BUFFER,BC_INCREFS,BC_ACQUIRE,BC_RELEASE,BC_DECREFS,BC_INCREFS_DONE,BC_ACQUIRE_DONE,BC_ATTEMPT_ACQUIRE,BC_REGISTER_LOOPER,BC_ENTER_LOOPER,BC_EXIT_LOOPER,BC_REQUEST_DEATH_NOTIFICATION,BC_CLEAR_DEATH_NOTIFICATION,BC_DEAD_BINDER_DONE,BC_TRANSACTION_SG,BR_ERROR,BR_OK,BR_TRANSACTION,BR_ACQUIRE_RESULT,BR_DEAD_REPLY,BR_TRANSACTION_COMPLETE,BR_INCREFS,BR_ACQUIRE,BR_RELEASE,BR_DECREFS,BR_ATTEMPT_ACQUIRE,BR_NOOP,BR_SPAWN_LOOPER,BR_FINISHED,BR_DEAD_BINDER,BR_CLEAR_DEATH_NOTIFICATION_DONE,BR_FAILED_REPLY,BR_REPLY
com.ForntYardIdeas.eshall,1,9876,35739,21682,0,82659,4845,4854,4333,4329,3683,3684,0,38,12,0,605,574,19,15458,0,0,51074,0,0,82741,3683,3682,3485,3492,0,0,37,0,19,574,0,31615
com.narasimata.najwashihab,1,9567,27361,14129,0,67263,4357,4361,4026,4021,3660,3660,0,11,3,0,296,280,3,16266,0,0,43580,0,0,67299,3657,3657,3422,3423,0,0,11,0,3,279,0,23714
com.Ideasforaquascape.uwiapps,1,0,4637,22,0,1873,89,88,59,59,78,82,0,0,0,0,6,8,0,0,0,0,23,0,0,4679,85,85,0,0,0,0,0,0,0,0,0,1887
com.greatesthitsallalbum.maroon5,1,60981,147275,38515,0,341645,30927,30936,30672,30679,30205,30202,0,15,2,0,597,655,32,94699,0,1,242059,0,0,341489,30189,30188,29987,29990,0,0,13,0,32,654,0,99502
com.innockstudios.balloonarcher,0,94340,164578,36848,0,440093,31396,31407,30873,30866,30412,30412,0,38,9,0,1184,1166,30,144333,0,0,308943,0,0,439996,30399,30399,30218,30223,0,0,39,0,30,1166,0,131140
com.Sportstudio.PROSOCCERSTARLEAGUE,1,20158,48762,32460,0,132151,8441,8449,7980,7972,7096,7096,0,25,9,0,560,512,77,30818,0,2,79623,0,0,132267,7124,7126,6807,6812,0,0,23,0,75,516,0,52726
free.stock.guru,1,0,1441,17,0,861,77,77,36,35,87,87,0,0,0,0,11,7,0,5,0,0,17,0,0,1465,88,88,0,0,0,0,0,0,0,0,0,858
com.pastarecipes.sangdroib,1,8415,30645,17336,0,69636,4101,4102,3897,3894,3327,3330,0,10,2,0,288,288,1,13231,0,0,43784,0,0,69612,3320,3327,3244,3232,0,0,9,0,1,294,0,25824
com.OfficeBuildingDesign.lukoni,1,0,8501,132,0,6966,255,255,35,34,349,349,0,0,0,0,95,91,0,8,0,0,132,0,0,8644,351,351,0,0,0,0,0,0,0,0,0,6851
sdteamnew.fastphofc.com.ph,1,11498,36347,20381,0,85920,4918,4929,4219,4211,3769,3770,0,30,12,0,336,321,87,17803,0,2,54004,0,0,86027,3755,3754,3464,3463,0,0,30,0,86,325,0,31974
com.resepayamsausmentegalezat.resepmasakandanminuman.toptrandresepmasakanapps.mesotheliomalawfirm,0,78834,168631,25116,0,390947,39138,39148,39033,39024,38208,38208,0,22,9,0,957,951,37,118414,0,0,286960,0,0,390982,38208,38210,38196,38198,0,0,21,0,37,954,0,103997
com.lemi.xuanhuan,1,91449,179437,11714,0,420833,45773,45781,45965,45958,44491,44492,0,6,1,0,256,296,20,138136,0,1,317536,0,0,420759,44495,44496,44617,44609,0,0,6,0,19,297,0,103285
com.WomenBra.trascodroid,1,0,3784,60,0,2573,160,157,40,40,231,223,0,0,0,0,55,56,0,2,0,0,58,0,0,3821,238,230,0,0,0,0,0,0,0,0,0,2512
com.programsdesigningfor.podksvad,0,0,4594,105,0,3658,251,251,10,9,354,354,0,0,0,0,107,102,0,0,0,0,105,0,0,4700,355,355,0,0,0,0,0,0,0,0,0,3565
com.mt354.adzanpakmayone,1,0,7425,91,0,5439,94,94,40,38,93,93,0,0,0,0,15,9,0,8,0,0,91,0,0,7525,93,93,0,0,0,0,0,0,0,0,0,5361
com.saintlucia.fmradioonline.radiostationtunner,0,0,3456,84,0,3116,207,207,15,14,475,475,0,0,0,0,108,102,0,0,0,0,84,0,0,3541,477,477,0,0,0,0,0,0,0,0,0,3045
com.dc.asg,1,0,4493,17,0,3532,30,30,7,6,44,44,0,0,0,0,6,2,0,8,0,0,17,0,0,4521,45,45,0,0,0,0,0,0,0,0,0,3524
com.nlabs.Milestone,0,22347,37196,20179,0,113222,6368,6376,6306,6304,6017,6020,0,34,16,0,347,330,40,33629,0,5,70608,0,0,113338,6016,6017,6012,6023,0,0,34,0,51,328,0,42636
com.megaaccount.romenticsongs,1,0,46,0,0,41,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,2,0,0,0,0,0,0,0,0,0,42
